paper,figure_no,page,caption,type,recoverability,mode
2023,1,3,问题分析与求解流程图,流程图,无需数值数据；节点和关系可由正文完整恢复,source_or_template
2023,2,4,蔬菜类商品自动定价与补货决策的总体建模路线图,体系架构图,无需数值数据；层级和反馈关系可由正文完整恢复,source_or_template
2023,3,5,数据预处理流程,流程图,无需数值数据；处理步骤可由正文完整恢复,source_or_template
2023,4,6,数据规模与质量诊断,柱状诊断图,图中标签及正文可恢复主要精确计数；全量重算需原始附件,source_or_template
2023,5,6,六品类销量时间趋势,多序列时间图,需原始日销量数据；仅凭DOCX只能近似数字化,source_or_template
2023,6,6,六品类累计销量构成,环形构成图,图中百分比和总量可直接恢复,source_or_template
2023,7,7,六类蔬菜日销量山脊图,山脊密度图,需原始日销量数据或拟合参数；图片只能近似数字化,source_or_template
2023,8,8,六品类销量分布拟合,直方图与密度拟合,正文给出分布族；精确曲线需原始数据及拟合参数,source_or_template
2023,9,8,六品类星期效应热力图,热力图,需原始日销量或星期效应矩阵；图片只能近似恢复,source_or_template
2023,10,9,六品类月份效应热力图,热力图,需原始日销量或月份效应矩阵；图片只能近似恢复,source_or_template
2023,11,9,原始相关与残差相关对比,双相关矩阵,部分相关系数可由正文恢复；完整矩阵需原始数据,source_or_template
2023,12,10,品类残差关联网络,加权网络图,正文与相邻结果可恢复主要边；完整边权需残差相关矩阵,source_or_template
2023,13,10,六类蔬菜相关距离的个性化误差点图,误差点图,图中标注可恢复主要估计与区间；原始计算需相关矩阵,source_or_template
2023,14,11,主要单品累计销量排名,排序条形图,精确值需单品销售汇总；图中标签可辅助恢复,source_or_template
2023,15,12,典型单品残差关系网络,正负加权网络图,正文可恢复典型关系；完整边权需单品残差数据,source_or_template
2023,16,12,问题一结论与后续模型衔接,总结流程图,无需数值数据；节点和关系可由正文完整恢复,source_or_template
2023,17,13,问题二需求预测定价与补货流程,流程图,无需图表原始数据；流程可由模型描述完整恢复,source_or_template
2023,18,14,六品类预测模型误差比较,误差比较图,精确指标可由相邻模型比较表恢复,source_or_template
2023,19,15,成本加成率弹性估计与层级收缩的个性化哑铃图,哑铃图,弹性参数可由相邻参数表恢复,source_or_template
2023,20,15,六品类成本加成率需求响应曲线,多曲线响应图,需求响应公式与弹性参数足以精确重算,source_or_template
2023,21,16,未来七日品类需求与推荐补货量,分组时序图,预测和策略明细表可恢复主要数据,source_or_template
